City,Data Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Austin,Temperature,10.80,12.80,16.50,20.60,24.70,27.90,29.40,29.80,26.70,21.80,16.10,11.40
Austin,Rainfall,56.40,51.30,70.10,53.10,112.00,110.00,47.80,59.70,75.90,98.60,75.20,61.00
Austin,Sunshine,164.30,169.50,204.60,207.00,226.30,285.00,316.20,297.60,234.00,217.00,168.00,155.00
Boston,Temperature,-1.50,0.00,3.70,9.10,14.60,20.00,23.20,22.40,18.40,12.40,7.20,1.70
Boston,Rainfall,85.30,82.60,109.70,95.00,88.40,93.50,87.10,83.60,87.40,100.10,101.30,96.00
Boston,Sunshine,164.30,169.50,213.90,228.00,266.60,288.00,300.70,275.90,237.00,207.70,144.00,142.60
